app_key,app_id,app_name,category,developer,platform,price_usd,content_rating,release_year,size_mb
1,APP0001,PixelRush,Productivity,DevStudio_11,Android,9.99,12+,2020,172.4
2,APP0002,TaskMate Pro,Games,DevStudio_9,ios,4.99,17+,,296.2
3,APP0003,  pixelrush  ,Education,DevStudio_5,Both,9.99,9+,2015,118.9
4,APP0004,StreamNow,Entertainment,DevStudio_7,android,0,17+,2016,114
5,APP0005,LearnSmart,Entertainment,DevStudio_11,both,1.99,4+,2020,40.1
6,APP0006,FitTrack,Social Networking,DevStudio_4,ANDROID,0,Everyone,2019,317.4
7,APP0007,MoneyWise,Productivity,DevStudio_3,IOS,0.99,Everyone,2018,118.3
8,APP0008,NOTESYNCE,Photo & Video,DevStudio_13,ANDROID,1.99,12+,2015,453.2
9,APP0009,SnapEdit,Productivity,DevStudio_4,ANDROID,4.99,,2018,430.5
10,APP0010,TuneFlow,Music,DevStudio_12,Android,4.99,4+,2016,40.1
11,APP0011,BattleZone,Finance,DevStudio_12,android,2.99,9+,2016,122.8
12,APP0012,NoteSync,Games,DevStudio_20,ios,0.99,,,336.1
13,APP0013,SocialVibe,Games,DevStudio_9,IOS,0,4+,2016,111
14,APP0014,WatchParty,Productivity,DevStudio_2,Android,9.99,4+,2017,70.5
15,APP0015, SocialVibe,Entertainment,DevStudio_15,IOS,0,Everyone,2017,468.1
16,APP0016,YogaZen,Entertainment,DevStudio_18,both,0,12+,,287.7
17,APP0017,CryptoTrack,Photo & Video,DevStudio_4,Both,0,4+,2017,239
18,APP0018,DealHunter,Music,DevStudio_13,android,0,Everyone,2019,393.4
19,APP0019,FilterFun,Games,DevStudio_3,Android,0,,2021,404.7
20,APP0020,BeatMaker,Photo & Video,DevStudio_18,ANDROID,4.99,,2018,99.3
21,APP0021,PuzzlePop,Entertainment,DevStudio_10,iOS,0,9+,2018,53
22,APP0022,FocusDesk,Photo & Video,DevStudio_20,Android,4.99,9+,2019,218.4
23,APP0023,FriendLoop,Finance,DevStudio_12,iOS,4.99,12+,2021,214.7
24,APP0024,MovieBuff,Entertainment,DevStudio_19,ANDROID,9.99,4+,2020,236.2
25,APP0025,SpellMaster,Shopping,DevStudio_7,Both,1.99,9+,,365.9
26,APP0026,RunCoach,Music,DevStudio_3,android,0,,,338.3
27,APP0027,BudgetPal,Education,DevStudio_2,ios,0,4+,2016,492.2
28,APP0028,StyleShop,Games,DevStudio_8,Android,1.99,,2018,53.7
29,APP0029,CamPro,Social Networking,DevStudio_10,ANDROID,2.99,4+,2018,204.3
30,APP0030,SoundWave,Finance,DevStudio_3,Android,0,,2016,173
